Az 0+készül ige korpuszgyakorisági adatai
Az ige elõfordulási száma: 475
A variánsok elõfordulási száma és gyakorisága
1 variáns:	46	0.0968421052631579

2 variáns:	429	0.9031578947368422

Az argumentumtípusok elõfordulási számai és együttelõfordulási számai.
	-	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
BA	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
BAN	77.0	0.0	77.0	3.0	72.0	2.0	0.0	0.0	0.0	0.0
BÓL	42.0	0.0	3.0	42.0	2.0	2.0	0.0	0.0	2.0	0.0
RA	409.0	1.0	72.0	2.0	409.0	41.0	4.0	2.0	5.0	2.0
ON	47.0	1.0	2.0	2.0	41.0	47.0	1.0	0.0	1.0	0.0
RÓL	4.0	0.0	0.0	0.0	4.0	1.0	4.0	0.0	0.0	0.0
HOZ	2.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0
NÁL	7.0	0.0	0.0	2.0	5.0	1.0	0.0	0.0	7.0	0.0
TÓL	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0

Az argumentumtípusok elõfordulási gyakorisága és együttelõfordulási gyakoriságai.
	-	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
BA	0.002105263157894737	0.002105263157894737	0.0	0.0	0.002105263157894737	0.002105263157894737	0.0	0.0	0.0	0.0
BAN	0.16210526315789472	0.0	0.16210526315789472	0.00631578947368421	0.15157894736842106	0.004210526315789474	0.0	0.0	0.0	0.0
BÓL	0.08842105263157894	0.0	0.00631578947368421	0.08842105263157894	0.004210526315789474	0.004210526315789474	0.0	0.0	0.004210526315789474	0.0
RA	0.8610526315789474	0.002105263157894737	0.15157894736842106	0.004210526315789474	0.8610526315789474	0.0863157894736842	0.008421052631578947	0.004210526315789474	0.010526315789473684	0.004210526315789474
ON	0.09894736842105263	0.002105263157894737	0.004210526315789474	0.004210526315789474	0.0863157894736842	0.09894736842105263	0.002105263157894737	0.0	0.002105263157894737	0.0
RÓL	0.008421052631578947	0.0	0.0	0.0	0.008421052631578947	0.002105263157894737	0.008421052631578947	0.0	0.0	0.0
HOZ	0.004210526315789474	0.0	0.0	0.0	0.004210526315789474	0.0	0.0	0.004210526315789474	0.0	0.0
NÁL	0.014736842105263158	0.0	0.0	0.004210526315789474	0.010526315789473684	0.002105263157894737	0.0	0.0	0.014736842105263158	0.0
TÓL	0.004210526315789474	0.0	0.0	0.0	0.004210526315789474	0.0	0.0	0.0	0.0	0.004210526315789474

Az argumentumtípusok feltételes valószínûségei.
sorcímke: A; oszlopcímke: B; cellatartalom: P(B|A)
	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
BA	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
BAN	0.0	1.0	0.03896103896103896	0.935064935064935	0.025974025974025976	0.0	0.0	0.0	0.0
BÓL	0.0	0.07142857142857142	1.0	0.047619047619047616	0.047619047619047616	0.0	0.0	0.047619047619047616	0.0
RA	0.0024449877750611247	0.17603911980440098	0.004889975550122249	1.0	0.10024449877750612	0.009779951100244499	0.004889975550122249	0.012224938875305624	0.004889975550122249
ON	0.02127659574468085	0.0425531914893617	0.0425531914893617	0.8723404255319149	1.0	0.02127659574468085	0.0	0.02127659574468085	0.0
RÓL	0.0	0.0	0.0	1.0	0.25	1.0	0.0	0.0	0.0
HOZ	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
NÁL	0.0	0.0	0.2857142857142857	0.7142857142857143	0.14285714285714285	0.0	0.0	1.0	0.0
TÓL	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0


********************************************************
Az argumentumtípusok elõfordulási számai és együttelõfordulási számai az 1 variáns esetében.
	-	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
BA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BAN	4.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
BÓL	39.0	0.0	3.0	39.0	0.0	2.0	0.0	0.0	2.0	0.0
RA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ON	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0
RÓL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HOZ	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NÁL	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0
TÓL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Az argumentumtípusok elõfordulási gyakorisága és együttelõfordulási gyakoriságai az 1 variáns esetében.
	-	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
BA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BAN	0.08695652173913043	0.0	0.08695652173913043	0.06521739130434782	0.0	0.0	0.0	0.0	0.0	0.0
BÓL	0.8478260869565217	0.0	0.06521739130434782	0.8478260869565217	0.0	0.043478260869565216	0.0	0.0	0.043478260869565216	0.0
RA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ON	0.043478260869565216	0.0	0.0	0.043478260869565216	0.0	0.043478260869565216	0.0	0.0	0.0	0.0
RÓL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HOZ	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NÁL	0.043478260869565216	0.0	0.0	0.043478260869565216	0.0	0.0	0.0	0.0	0.043478260869565216	0.0
TÓL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Az argumentumtípusok feltételes valószínûségei az 1 variáns esetében.
sorcímke: A; oszlopcímke: B; cellatartalom: P(B|A)
	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
BA	-	-	-	-	-	-	-	-	-
BAN	0.0	1.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0
BÓL	0.0	0.07692307692307693	1.0	0.0	0.05128205128205128	0.0	0.0	0.05128205128205128	0.0
RA	-	-	-	-	-	-	-	-	-
ON	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
RÓL	-	-	-	-	-	-	-	-	-
HOZ	-	-	-	-	-	-	-	-	-
NÁL	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
TÓL	-	-	-	-	-	-	-	-	-


********************************************************
Az argumentumtípusok elõfordulási számai és együttelõfordulási számai az 2 variáns esetében.
	-	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
BA	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
BAN	73.0	0.0	73.0	0.0	72.0	2.0	0.0	0.0	0.0	0.0
BÓL	3.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0
RA	409.0	1.0	72.0	2.0	409.0	41.0	4.0	2.0	5.0	2.0
ON	45.0	1.0	2.0	0.0	41.0	45.0	1.0	0.0	1.0	0.0
RÓL	4.0	0.0	0.0	0.0	4.0	1.0	4.0	0.0	0.0	0.0
HOZ	2.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0
NÁL	5.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	5.0	0.0
TÓL	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0

Az argumentumtípusok elõfordulási gyakorisága és együttelõfordulási gyakoriságai az 2 variáns esetében.
	-	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
BA	0.002331002331002331	0.002331002331002331	0.0	0.0	0.002331002331002331	0.002331002331002331	0.0	0.0	0.0	0.0
BAN	0.17016317016317017	0.0	0.17016317016317017	0.0	0.16783216783216784	0.004662004662004662	0.0	0.0	0.0	0.0
BÓL	0.006993006993006993	0.0	0.0	0.006993006993006993	0.004662004662004662	0.0	0.0	0.0	0.0	0.0
RA	0.9533799533799534	0.002331002331002331	0.16783216783216784	0.004662004662004662	0.9533799533799534	0.09557109557109557	0.009324009324009324	0.004662004662004662	0.011655011655011656	0.004662004662004662
ON	0.1048951048951049	0.002331002331002331	0.004662004662004662	0.0	0.09557109557109557	0.1048951048951049	0.002331002331002331	0.0	0.002331002331002331	0.0
RÓL	0.009324009324009324	0.0	0.0	0.0	0.009324009324009324	0.002331002331002331	0.009324009324009324	0.0	0.0	0.0
HOZ	0.004662004662004662	0.0	0.0	0.0	0.004662004662004662	0.0	0.0	0.004662004662004662	0.0	0.0
NÁL	0.011655011655011656	0.0	0.0	0.0	0.011655011655011656	0.002331002331002331	0.0	0.0	0.011655011655011656	0.0
TÓL	0.004662004662004662	0.0	0.0	0.0	0.004662004662004662	0.0	0.0	0.0	0.0	0.004662004662004662

Az argumentumtípusok feltételes valószínûségei az 2 variáns esetében.
