id	argVar	pvform	lemma	pvv	mood	cau	pot	BA	BAN	BÓL	RA	ON	RÓL	HOZ	NÁL	TÓL
készüls145w12	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls146w13	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls147w24	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls151w5	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls152w8	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls159w8	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls161w14	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls163w13	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls164w4	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls165w8	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls166w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls167w8	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls169w11	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls176w13	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls178w10	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	1	0
készüls179w10	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls187w23	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls188w9	2	0	készül	0+készül	ind	-	-	0	0	0	0	1	0	0	0	0
készüls190w3	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls191w8	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls195w6	2	0	készül	0+készül	ind	-	-	0	0	0	0	0	0	0	0	0
készüls201w14	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls202w11	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls203w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls207w12	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls208w6	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls211w6	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls216w9	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls218w6	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls220w10	1	0	készül	0+készül	ind	-	-	0	0	0	0	0	0	0	0	0
készüls225w4	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls227w8	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls228w14	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls230w11	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls231w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls239w24	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls242w8	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls246w8	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls248w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls250w8	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls251w8	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls252w19	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls253w12	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls254w11	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls256w19	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls258w6	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls259w6	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls260w9	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls262w8	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls264w30	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls266w10	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls267w6	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls268w18	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls269w19	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls272w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls274w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls275w18	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls280w11	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls281w9	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls282w8	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls284w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls287w9	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls288w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	1	0	0	0
készüls289w8	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls296w9	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	0	0
készüls297w14	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls302w6	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls303w9	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls306w5	2	0	készül	0+készül	ind	-	-	0	0	0	0	1	0	0	0	0
készüls308w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls309w21	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls311w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls313w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls315w10	2	0	készül	0+készül	ind	-	-	0	1	0	1	0	0	0	0	0
készüls316w8	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls318w6	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls319w8	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	1	0	0	0
készüls322w12	1	0	készül	0+készül	ind	-	-	0	0	1	0	0	0	0	1	0
készüls323w9	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls324w15	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls326w9	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls327w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls329w7	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls332w12	2	0	készül	0+készül	ind	-	-	0	0	0	1	1	0	0	0	0
készüls333w5	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
készüls336w2	2	0	készül	0+készül	ind	-	-	0	0	0	1	0	0	0	0	0
