id	argVar	pvform	lemma	pvv	mood	cau	pot	acc	VAL	BA
bevons211w9	2	be	von	be+von	ind	-	-	1	0	1
bevons215w6	2	be	von	be+von	ind	-	-	1	0	1
bevons221w12	2	be	von	be+von	ind	-	-	1	0	0
bevons224w6	1	be	von	be+von	ind	-	-	1	1	0
bevons227w11	2	be	von	be+von	ind	-	-	1	0	0
bevons228w8	2	be	von	be+von	ind	-	-	1	0	1
bevons232w26	2	be	von	be+von	ind	-	-	1	0	1
bevons234w6	2	be	von	be+von	ind	-	-	1	0	1
bevons239w16	2	be	von	be+von	ind	-	-	1	0	1
bevons240w11	1	be	von	be+von	ind	-	-	1	1	0
bevons242w13	2	be	von	be+von	ind	-	-	1	0	1
bevons243w14	1	be	von	be+von	ind	-	-	1	1	0
bevons244w13	1	be	von	be+von	ind	-	-	1	1	0
bevons245w7	2	be	von	be+von	ind	-	-	1	0	0
bevons246w8	2	be	von	be+von	ind	-	-	1	0	1
bevons247w11	1	be	von	be+von	ind	-	-	1	1	0
bevons248w7	2	be	von	be+von	ind	-	-	1	0	1
bevons250w7	2	be	von	be+von	ind	-	-	1	0	1
bevons251w9	2	be	von	be+von	ind	-	-	1	0	1
bevons252w6	2	be	von	be+von	ind	-	-	1	0	1
bevons254w6	2	be	von	be+von	ind	-	-	1	0	0
bevons255w7	2	be	von	be+von	ind	-	-	1	0	0
bevons257w5	2	be	von	be+von	ind	-	-	1	0	0
bevons258w7	2	be	von	be+von	ind	-	-	1	0	1
bevons266w15	2	be	von	be+von	ind	-	-	0	0	1
bevons268w7	2	be	von	be+von	ind	-	-	1	0	1
bevons270w3	2	be	von	be+von	ind	-	-	1	0	1
bevons272w6	2	be	von	be+von	ind	-	-	1	0	1
bevons275w6	1	be	von	be+von	ind	-	-	1	1	0
bevons278w5	2	be	von	be+von	ind	-	-	1	0	1
bevons280w25	2	be	von	be+von	ind	-	-	1	1	1
bevons281w5	2	be	von	be+von	ind	-	-	1	0	0
bevons282w9	2	be	von	be+von	ind	-	-	1	0	0
bevons286w7	1	be	von	be+von	ind	-	-	1	1	0
bevons287w5	2	be	von	be+von	ind	-	-	0	0	0
bevons290w18	2	be	von	be+von	ind	-	-	1	0	1
bevons293w10	2	be	von	be+von	ind	-	-	1	0	1
bevons294w6	2	be	von	be+von	ind	-	-	1	0	1
bevons295w12	2	be	von	be+von	ind	-	-	0	0	0
bevons297w6	2	be	von	be+von	ind	-	-	1	0	1
bevons300w3	2	be	von	be+von	ind	-	-	1	0	1
bevons301w10	2	be	von	be+von	ind	-	-	1	0	1
bevons302w19	2	be	von	be+von	ind	-	-	1	0	0
bevons303w6	2	be	von	be+von	ind	-	-	0	0	1
bevons305w12	2	be	von	be+von	ind	-	-	1	0	1
bevons308w14	2	be	von	be+von	ind	-	-	1	0	1
bevons309w11	2	be	von	be+von	ind	-	-	1	0	0
bevons313w22	2	be	von	be+von	ind	-	-	0	0	1
bevons319w4	2	be	von	be+von	ind	-	-	1	0	1
bevons320w14	2	be	von	be+von	ind	-	-	1	0	1
bevons321w8	2	be	von	be+von	ind	-	-	1	0	1
bevons322w6	2	be	von	be+von	ind	-	-	1	0	1
bevons325w5	2	be	von	be+von	ind	-	-	1	0	1
bevons326w4	2	be	von	be+von	ind	-	-	1	0	1
bevons327w4	2	be	von	be+von	ind	-	-	1	0	1
bevons329w7	2	be	von	be+von	ind	-	-	1	0	1
bevons330w9	2	be	von	be+von	ind	-	-	1	0	1
